DataSource;R2;RMSE;MAE;Variables
Self;0.9216486177047372;277.1287940331734;29.16477981164611;{'Ethnicity': True, 'Ageband': True, 'Gender': True, 'Country': True, 'Region': True, 'Policeforcename': True, 'Court_Type': True, 'Offencetype': True}
Self;0.9407528355950114;179.39069047223427;25.750116063138346;{'Ethnicity': True, 'Ageband': True, 'Gender': True, 'Country': True, 'Region': True, 'Policeforcename': True, 'Court_Type': True, 'Offencetype': True}
Self;0.9385121706915935;195.31584653408527;25.62108237166733;{'Ethnicity': True, 'Ageband': True, 'Gender': True, 'Country': True, 'Region': True, 'Policeforcename': True, 'Court_Type': True, 'Offencetype': True}
Self;0.8804534797970573;221.2578378357063;29.444196843082636;{'Ethnicity': True, 'Ageband': True, 'Gender': True, 'Country': True, 'Region': True, 'Policeforcename': True, 'Court_Type': True, 'Offencetype': True}
Self;0.9462011210664992;190.14582483723677;27.920198965380024;{'Ethnicity': True, 'Ageband': True, 'Gender': True, 'Country': True, 'Region': True, 'Policeforcename': True, 'Court_Type': True, 'Offencetype': True}
Self;0.916821047309831;267.5488766536033;29.95083233850643;{'Ethnicity': True, 'Ageband': True, 'Gender': True, 'Country': True, 'Region': True, 'Policeforcename': True, 'Court_Type': True, 'Offencetype': True}
Self;0.9327843604046977;209.58780709071812;26.88677079188221;{'Ethnicity': True, 'Ageband': True, 'Gender': True, 'Country': True, 'Region': True, 'Policeforcename': True, 'Court_Type': True, 'Offencetype': True}
Self;0.9429299742187205;186.23882662300946;26.63573152938056;{'Ethnicity': True, 'Ageband': True, 'Gender': True, 'Country': True, 'Region': True, 'Policeforcename': True, 'Court_Type': True, 'Offencetype': True}
Self;0.9173315395660794;216.14459491217238;27.185683114471416;{'Ethnicity': True, 'Ageband': True, 'Gender': True, 'Country': True, 'Region': True, 'Policeforcename': True, 'Court_Type': True, 'Offencetype': True}
Self;0.9645167147974039;159.87697221262442;25.869732723172838;{'Ethnicity': True, 'Ageband': True, 'Gender': True, 'Country': True, 'Region': True, 'Policeforcename': True, 'Court_Type': True, 'Offencetype': True}
Self;0.9216377705191736;251.04891671544127;28.727184639872657;{'Ethnicity': True, 'Ageband': True, 'Gender': True, 'Country': True, 'Region': True, 'Policeforcename': True, 'Court_Type': True, 'Offencetype': True}
Self;0.9271138008443882;245.97159939608136;29.8575169120573;{'Ethnicity': True, 'Ageband': True, 'Gender': True, 'Country': True, 'Region': True, 'Policeforcename': True, 'Court_Type': True, 'Offencetype': True}
Self;0.9550824741105644;168.2573400926987;26.60762567979838;{'Ethnicity': True, 'Ageband': True, 'Gender': True, 'Country': True, 'Region': True, 'Policeforcename': True, 'Court_Type': True, 'Offencetype': True}
Self;0.949192154048841;194.3457092232649;26.6947121634169;{'Ethnicity': True, 'Ageband': True, 'Gender': True, 'Country': True, 'Region': True, 'Policeforcename': True, 'Court_Type': True, 'Offencetype': True}
Self;0.9409222041776033;195.64224501920955;26.631137418755806;{'Ethnicity': True, 'Ageband': True, 'Gender': True, 'Country': True, 'Region': True, 'Policeforcename': True, 'Court_Type': True, 'Offencetype': True}
Self;0.6041429311995403;603.8594865860974;35.689346730335586;{'Ethnicity': True, 'Ageband': True, 'Gender': True, 'Country': True, 'Region': True, 'Policeforcename': True, 'Court_Type': True, 'Offencetype': True}
Self;0.9329525774321236;219.2982738093078;27.566637485077596;{'Ethnicity': True, 'Ageband': True, 'Gender': True, 'Country': True, 'Region': True, 'Policeforcename': True, 'Court_Type': True, 'Offencetype': True}
Self;0.9143492218366702;258.40433427456196;28.96010478843348;{'Ethnicity': True, 'Ageband': True, 'Gender': True, 'Country': True, 'Region': True, 'Policeforcename': True, 'Court_Type': True, 'Offencetype': True}
Self;0.9460542991420977;178.24509809151897;26.505982225759386;{'Ethnicity': True, 'Ageband': True, 'Gender': True, 'Country': True, 'Region': True, 'Policeforcename': True, 'Court_Type': True, 'Offencetype': True}
Self;0.9582924635807657;167.9365398172144;25.73323517707919;{'Ethnicity': True, 'Ageband': True, 'Gender': True, 'Country': True, 'Region': True, 'Policeforcename': True, 'Court_Type': True, 'Offencetype': True}
Self;0.9324512809640931;234.6126941353736;27.81916965114737;{'Ethnicity': True, 'Ageband': True, 'Gender': True, 'Country': True, 'Region': True, 'Policeforcename': True, 'Court_Type': True, 'Offencetype': True}
Self;0.9127052046187818;210.1562020306191;26.972881018702747;{'Ethnicity': True, 'Ageband': True, 'Gender': True, 'Country': True, 'Region': True, 'Policeforcename': True, 'Court_Type': True, 'Offencetype': True}
Self;0.9298683478022471;214.94712650005567;27.603606579121898;{'Ethnicity': True, 'Ageband': True, 'Gender': True, 'Country': True, 'Region': True, 'Policeforcename': True, 'Court_Type': True, 'Offencetype': True}
Self;0.9456960454751803;178.7411397858395;26.79955763363841;{'Ethnicity': True, 'Ageband': True, 'Gender': True, 'Country': True, 'Region': True, 'Policeforcename': True, 'Court_Type': True, 'Offencetype': True}
Self;0.9102412984577428;220.28521796473154;27.791403369147098;{'Ethnicity': True, 'Ageband': True, 'Gender': True, 'Country': True, 'Region': True, 'Policeforcename': True, 'Court_Type': True, 'Offencetype': True}
Self;0.8940292311428504;342.9786262527804;31.928450059689613;{'Ethnicity': True, 'Ageband': True, 'Gender': True, 'Country': True, 'Region': True, 'Policeforcename': True, 'Court_Type': True, 'Offencetype': True}
Self;0.9452185759344853;195.40255380844732;26.011159304947608;{'Ethnicity': True, 'Ageband': True, 'Gender': True, 'Country': True, 'Region': True, 'Policeforcename': True, 'Court_Type': True, 'Offencetype': True}
